question,answer
Does the customer need to have their mobile no registered with their Aadhaar card?,"Yes, the customer’s mobile no. should be registered to their Aadhaar card."
Will I receive the payout if the customer has an existing relationship with Angel One?,"No, you will not receive the payout if the customer is already an existing relation with Angel One."
Will the customer have to pay an AMC in the first year?,"No, the customer will not have to pay an AMC for the first year."
What are the parameters considered by Bueno Finance(MoKredit) in deciding the eligible credit limit,"Bueno Finance considers a lot of factors before approving you for their MoKredit credit limit. Some of these are -your income, credit history, repayment behaviour, and a few other factors."
What are the documents required during the onboarding journey?,"PAN card & Aadhaar card image is required to be uploaded, in addition to your live selfie"
When will I get my payout?,You will receive the payout into your wallet instantly after the customer has successfully activated their MoKredit a/c. This money can be transferred by you to your bank a/c anytime.
What is the minimum age required to open the account?,Customer's minimum age should be 18 years for applying for MoKredit limit
Does the customer need to have their mobile no registered with their Aadhaar card?,"Yes, the customer needs to have their mobile no registered with their Aadhaar card"
Will I receive the payout if the customer has an existing relationship with Beuno Finance?,"No, you will NOT receive the payout if the customer has an existing relationship with Beuno Finance"
Will the lead be attributed if my customer already holds a uni pay 1/3 card?,"No, the lead will not be attributed to you if the customer already holds a uni pay 1/3 card"
Will the lead be attributed if my customer already holds a uni pay 1/3 card?,"No, the lead will not be attributed to you if the customer already holds a uni pay 1/3 card"
What are the documents required during the registration process?,Customer’s Aadhaar and PAN details are required during the registration process
When will I get my payout?,You will be able to transfer your money directly into your bank account once your customer’s lead is marked as success.
What is the minimum age required to apple for a uni card credit card?,The minimum age of the customer should be 18 years to apply for the uni pay 1/3 card credit card.
What information is required during the registration process?,"PAN number, Email ID, Date of birth and gender are required to be entered during the registration process"
When will I get my payout?,You will receive the payout in your GroMo wallet right after the lead is marked as success
Will I receive the payout if the customer is already registered with ICICI i-mobile pay app?,"No, you will not receive the payout if the customer is already registered with ICICI i-mobile pay app"
Will my lead be attributed to me if my customer is an existing customer of Lenden club?,"No, the lead will not be attributed to you if your  customer is an existing customer of Lenden club"
What are the documents required during the onboarding journey?,"Customer’s PAN card, Aadhaar card and bank statement are required during the onboarding journey"
When will I get my payout?,Your payout would be credited to your wallet as soon as the lead is marked as success by the brand. You can transfer the same to your account anytime.
What is the minimum age required to apply?,The minimum age of the customer should be 21 years.
Why is my customer required to pay an assessment fee?,"Assessment fee is of INR 199/- is required to be paid for credit check of the customer. This fee is non-refundable, irrespective of loan approval/rejection"
Why did my customer not get full amount credited in their account?,0-5% of processing fee is deducted from the principal amount before crediting it to customer’s account. This fee is variable and depends on the amount of loan disbursed.
Q. My customer is being asked to create an FD while applying for OneCard credit card?,Ans - Customer would be required to create an FD while applying for OneCard credit card in case your customer’s credit score does not meet the eligibility requirements or their city is currently non-serviceable for credit cards without a refundable security deposit.
Q. What is the amount of FD that can be done while applying for OneCard credit card?,Ans - FD of any amount between 2000/- Rupees and 1 Lac can be done while applying for OneCard credit card
Q. What would be the credit limit of OneCard credit card if the customer applies for an FD?,"Ans - The credit limit  of the customer’s card will be 110% of the FD amount, and the interest rate  would be around 6.5% per annum"
Q. Will my lead be attributed to me if my customer is an existing customer of OneCard?,"Ans - No, the lead will not be attributed to you if your  customer is an existing customer of OneCard"
Q. What are the customer details required during the onboarding journey?,"Ans - Customer’s PAN card, Aadhaar card and bank details are required during the onboarding journey"
Q. When will I get my payout?,Ans- Your payout would be credited to your wallet as soon as the lead is marked as success by the brand. You can transfer the same to your account anytime.
Q. What is the minimum age required to apple for a credit card?,Ans -The minimum age of the customer should be 25 years.
Is it mandatory to make a trade once the account has opened?,"Yes, it is mandatory to make the first trade of minimum ₹100 in the same month of account opening. For example, if your customer's account was opened on 13th July 2022, they must do their first trade before 31st July 2022."
When will I get my payout?,You will receive the payout in your wallet instantly once the lead is marked a success. You can transfer this amount to your account anytime
What is the minimum age required to open the account?,The minimum age of the customer should be 18 years for opening a Bajaj Securities demat account
Will I receive the payout if the customer has an existing relationship with Bajaj Securities,"No, you will not receive your payout if the customer is already an existing relation with Bajaj Securities. "
Is it mandatory to make a trade once the account has opened?,"No, it is not mandatory to make the trade once the account has been opened. However,  there is an additional (higher) payout if the customer makes their first trade after account opening."
What are the documents required during the onboarding journey?,"PAN card, Address Proof are the documents required in addition to bank details and live selfie during the on-boarding journey"
When will I get my payout?,You will receive the payout in your wallet instantly once the lead is marked a success. You can transfer this amount to your account anytime
What is the minimum age required to open the Tata Moneyfy account?,The minimum age of the customer should be 18 yrs for opening a Tata Moneyfy account
Will I receive the payout if the customer has an existing relationship with Tata Moneyfy?,"No, you will not receive the payout if the customer is already an existing relation with Tata Moneyfy."
Will I receive an OTP from Indialends?,"Yes, You will receive an OTP before you are shown offers."
Will Indialends call my customer once they redirect to their website?,"Yes, Indialends will call your customer to offer them plans."
What happens if a loan of my customer is rejected?,Indialends will contact your customer and offer them a different loan which will be suitable against their risk profile.
How will the loan amount be calculated?,The loan will be calculated based on the risk profile of your customer.
When will I receive my payout?,You will receive your payout 4-7 days after your customer’s loan has been disbursed.
When will my lead be marked expired?,Your customer’s lead will be expired after 90 days.
How much time does it take for the loan to be approved?,The time taken depends on the lender and can instantly to some few days.
What is the age criteria to apply for an IDFC First Bank Credit Card?,For salaried individuals their age should be between 21 to 60 Years and in the case of self employed individuals age should be between 25 to 65 years.
"What are the reward points, how to use them?",Reward points are additional perks you receive on making payments using your credit cards. Apply for credit card at IDFC FIRST Bank and get rewarded up to 10X rewards for every payment you make. The rewards you earn do not expire and are fully redeemable against any payment for no fees.
"Will the lead be attributed, if my customer is already a customer of IDFC First Bank?","No, if your customer is already a customer of IDFC First Bank, you will not be eligible for payout for that lead."
What should be the minimum monthly income to apply for the IDFC First Bank Credit Card?,"The net monthly income needs to be a minimum of Rs. 30,000."
Is it available PAN India?,"No, it is only available for customers residing and working in limited 50 cities. Please check eligibility by entering customer’s PIN Code."
Which debit card will I get with my account and are there any minimum balance requirement with this account?,"There are two debit card choices available. 1. Visa Classic Debit Card : ₹10,000 average monthly balance. 2. Visa Signature Debit Card: ₹25,000 average monthly balance"
What are the benefits available with Visa Signature debit card?,"1. Complimentary domestic airport lounge access, twice every quarter 2. Free & unlimited ATM cash withdrawals 3. Personal Accident Insurance: Free cover (death or permanent disability)  4. Purchase Protection: For burglary/ theft/ damage up to 90 days from the date of purchase up to Rs. 1 lakh 5. Lost Card Liability: No liability up to a limit of Rs. 6 lakh 6. Air accident cover of Rs. 1 crore 7. Higher daily purchase limit of ₹6 lakh and higher daily ATM withdrawal limit of ₹2 lakh"
What are the benefits of Visa Classic Debit Card?,"1. Daily cash withdrawal of ₹1 lakh and higher purchase limit of ₹1.5 lakh 2. Personal accident insurance coverage up to ₹2 lakh 3. Lost card liability protection up to ₹1,50,000 4. 5 Free financial ATM Transactions at IDFC FIRST and 5 Free financial Transactions at Non-IDFC FIRST Bank ATM locations 5. Usage offers across dining, shopping, travel, hospitality, entertainment and health"
What is Monthly Average Balance (MAB)?,"Monthly Average Balance or MAB is defined as the sum of all the end of the day closing balance of your bank’s savings account divided by the number of days in that particular month.  eg. In June (30 days) suppose you have ₹ 20,000 in your account for the first 15 days and ₹ 10,000 for the next 15 days.  MAB = (15*20,000 *+ 15**10,000) / 30 = 15,000"
What is Cherry?,"Cherry is a one-stop platform by the trusted house of Kotak for all your investments, built to help you invest like a pro! Invest safely and securely with Cherry in mutual funds (like Index funds, International Equity, ELSS and more), Stocks, ETFs (Exchange Traded Funds: Gold, Index Funds, etc.), Bonds (Gold, other listed bonds) & many more."
Is it mandatory to make an investment once the account has opened?,"Yes, for successful payout the customer should makes their 1st investment within 7 days of account opening."
Who is eligible to get access to this platfom?,"Anybody in the age group of 22-44 years, who is residing in India and paying taxes here is eligible to open account with Kotak Cherry. The final decision to open the account lies with Cherry."
What are the documents required during the onboarding journey?,"PAN card, Aadhaar card are the documents required in addition to bank details and live video KYC during the on-boarding journey"
What are the investment products available on Cherry?,"Mutual Funds (like Index funds, International Equity, ELSS and more), Stocks, ETFs (Exchange Traded Funds: Gold, Index Funds, etc.), Bonds (Gold, other listed bonds) & many more."
What is a Mutual Fund?,"A mutual fund is a portfolio of stocks, bonds, or other securities, which gives small or individual investors access to diversified, professionally managed portfolios at a low price. Mutual funds are divided into several kinds of categories, representing the kinds of securities they invest in, their investment objectives, and the type of returns they seek. "
What are the documents required during the onboarding journey?,"Original PAN card and for address proof any one of the Aadhaar card/ Driving license/ Voter card or Passport, are required in addition to bank details and live selfie during the on-boarding journey."
What is a credit card?,It is a payment card issued by a bank that gives you a short term credit/loan to purchase goods and services.
What is the eligibility criteria for Credit Cards?,Anyone - whether self-employed or salaried professionals — with a regular source of income can apply for a Credit Card. One must be 18 years old at the time of applying. One must also have a good credit history to be eligible for a Credit Card.
What are the features and charges of credit cards?,"Features and annual credit card fee will depend upon the credit card type and bank selected by the customer. This will be shown to the customer during the application process. However, there is no charges for applying for credit card via your link. "
Which bank's credit card can be applied via Indialends?,"Your customers can apply for credit cards from multiple banks such as AXIS Bank, IDFC bank, SBI, CITI Bank, YES bank, and Standard Chartered Bank and many more. However, the cards shown to the customer may vary based on their eligibility."
Will the customers receive an OTP from Indialends?,"Yes, the customers will receive an OTP before the list of available credit cards are shown to them. "
"If my customer has an existing relationship with YES Bank, can I open their digital savings account?","Currently, only new to YES Bank Customers can open digital savings accounts. Existing YES BANK customers are not allowed to open digital savings account."
"यदि मेरे ग्राहक का यस बैंक के साथ मौजूदा संबंध है, तो क्या मैं उनका डिजिटल बचत खाता खोल सकता हूं?","वर्तमान में, यस बैंक के केवल नए ग्राहक ही डिजिटल बचत खाते खोल सकते हैं। मौजूदा येस बैंक ग्राहकों को डिजिटल बचत खाता खोलने की अनुमति नहीं है।"
Can customers open a joint account with their wife/ family?,No for the time being only Single holders can open account digitally.
क्या ग्राहक अपनी पत्नी/परिवार के साथ संयुक्त खाता खोल सकते हैं?,"नहीं, फिलहाल केवल सिंगल धारक ही डिजिटल रूप से खाता खोल सकते हैं | "
When would I get my account number and Customer ID?,Customer ID and Account number are provided instantly after submission of completed account opening application on the bank's portal.
मुझे अपना खाता नंबर और ग्राहक आईडी कब मिलेगा ?,बैंक के पोर्टल पर खाता खोलने का पूरा आवेदन जमा करने के तुरंत बाद ग्राहक आईडी और खाता संख्या प्रदान की जाती है।
What are the documents required to open the account?,Aadhaar Number and PAN are mandatory to open Savings account digitally
खाता खोलने के लिए किन दस्तावेजों की आवश्यकता होती है?,बचत खाता डिजिटल रूप से खोलने के लिए आधार नंबर और पैन अनिवार्य है
What are the documents that are needed during the Video KYC call?,"During the video call, Bank official would validate the details filled in the form. Post validation, you would be asked to show original PAN Card"
वीडियो केवाईसी कॉल के दौरान किन दस्तावेजों की जरूरत होती है?,"वीडियो कॉल के दौरान, बैंक अधिकारी फॉर्म में भरे गए विवरण को मान्य करेगा। सत्यापन के बाद, आपको मूल पैन कार्ड दिखाने के लिए कहा जाएगा"
What are the fees and benefits of Axis Bank Select Credit Card ?,"Fees:- Joining Fee - ₹3,000 + GST Annual Fee - ₹3,000 + GST"
What are the fees and benefits of Axis bank Privilege Credit Card ?,"Fees:- Joining Fee: ₹1,500 + GST (NIL for Priority Customers); Annual Fee: ₹1,500 + GST"
What are the fees and benefits of Axis Bank Magnus Credit Card ?,"Fees:- Joining Fee: ₹10,000+ GST; Annual Fee: ₹10,000 + GST"
What are the fees and benefits of Axis Bank Aura (Health) Credit Card ?,Fees:- Joining Fee: ₹749 + GST; Annual Fee: ₹749 + GST
What are the fees and benefits of Axis Bank Vistara Credit Card ?,"Fees:- Joining Fee: ₹1,500 + GST; Annual Fee: ₹1,500 + GST"
What are the fees and benefits of Axis Bank Vistara Signature Credit Card ?,"Fees:- Joining Fee: ₹3,000 + GST; Annual Fee: ₹3,000 + GST"
What are the fees and benefits of Axis Bank Vistara Infinite Credit Card ?,"Fees:- Joining Fee: ₹10,000 + GST; Annual Fee: ₹10,000 + GST"
What are the fess and benefits of Axis Bank Neo Credit Card ?,Fees:- Joining Fee: ₹250 + GST; Annual Fee: ₹250 + GST
What is ELSS Fund?,"ELSS or Equity Linked Savings Scheme is the only kind of mutual fund, where your investments are eligible for tax benefits under section 80C of the Income Tax Act of India. The amount invested in ELSS Fund has a lock-in period of 3 years with no option of early withdrawal of money ."
What are the types of Credit Cards offered by Standard Chartered in India?,"1. Ultimate card – a) 5 points for every Rs 150 spent b) Access to airport lounges and golf clubs c) Cashback on duty-free purchases  2. Smart Credit Card – a) Enjoy 2%* cashback on all online spends and 1%* cashback on other spends. b) Attractive interest rate of 0.99%* per month on Kuch Bhi on EMI (KBE) c) Extended interest-free credit period for first 90 days*  3. DigiSmart Card – a) 10-20%* off at Grofers, Zomato, Ola, Myntra b) Domestic and international travel discounts c) Buy One Get One INOX movie tickets  4. Manhattan Card – a) 5%* shopping cashback with 3x bonus reward points b) Travel and shopping discounts.  5. Super Value Titanium Cashback Credit Card – a) 5%* cashback on all utility bills and fuel expenses.  6. Platinum Rewards – a) 5x rewards on every Rs150 spent on dining and fuel b) Discounts on shopping, travel etc  7. Visa Infinite – a) Priority bank customers exclusive b) Priority pass and lounge access"
How does PayLater work?,"ZIP Pay Later is very easy to use. You get a credit up to Rs 60,000. You can use that money to pay bills, order groceries, food, medicines or shop for anything online and simply pay the bill via ZIP. Your ZIP bill will be generated twice a month, after 15 days. So this means you can shop all you want and simply pay it back later. The credit disbursed to a user via MobiKwik is at 0% interest if the bill is paid on time."
Where can we use Zip PayLater?,"ZIP Pay Later can be used at 1 Lakh+ brands to order groceries, medicines, food, clothes, electronics; pay bills like electricity, gas, water, DTH, mobile; or shop for anything online as per your necessity or wish."
How can I use Paylater?,"You can use it online. Your Zip balance will be available on merchants to use. So, while making payment on any online brand, you just have to choose MobiKwik as your preferred payment mode and your transaction will immediately get through! Yes, it’s that quick and instant."
What is the billing cycle & due date?,"For transactions made between:  1st to 15th, bill date will be 16th and the due date will be the 20th of every month.  If transaction is made between 16th to 31st, bill date will be 1st and due date will be the 5th of every month."
What are the activation charges?,Activation charges of INR99.0 will be applicable for Zip activation which will included in your first bill for your ZIP account
What are the benefits of Digi Current Account?,"Below are the features of Digi Current Account.   1. Digital Full KYC account with zero monthly service charge. 2. No need to visit the Branch - Avail all our 250 + services online. 3. On account, activation starts transacting securely via Debit card, UPI, NEFT, IMPS, and RTGS. 4. E- Debit Card loaded with offers - Get your virtual Debit card instantly on account opening. 5. Business Classic Debit Card loaded with benefits - Dispatched to your communication address after account opening. 6. Signature Update via Axis Mobile app - Update any time after account opening."
Is it mandatory to share Aadhaar details to open a Digi Current Account?,"You need to voluntarily share your Aadhaar details to open a Digi Current Account. In case you do not wish to share your Aadhaar or VID details, you can visit your nearest Axis Bank and choose and open a Current account from our wide range of products."
Do I need to visit a branch after opening a Digi Current Account?,You need not visit a branch post account opening. Your Full Power Digital Current Account lets you avail of all our 250 + services online.
How much cash deposit is allowed for Digi Current Account?,You can make a cash deposit of up to ₹1 Lakh per month in your Digi Current Account.
Do I need to add a nominee for my Digi Current Account?," It is always good to have a nominee for your account. In case of unforeseen circumstances, the funds can be transferred to the nominee without any hassle. You can, however, skip nominee details while opening the account and add one later."
I hold a Digi Current Account. Can I apply for other Axis Bank products?," Yes, you can apply for other products as per the eligibility criteria of Axis Bank."
What is the eligibility criteria to open Digi Current Account?,You can open an Axis Digi Current Account as long as   You are an Indian citizen You have a valid PAN and Aadhaar number You have a valid mobile number linked to your Aadhaar You are 18 years of age or above Your Desktop/Laptop or Mobile Device with which you are opening an account has a camera for the Video KYC process You are applying from India
What is Axis Digi Current Account?,"Axis Digi Current Account is a new-age digital Current account offered by Axis Bank for Individual customers. You can open a Digi Current Account by visiting www.axisbank.com. All you need is your Aadhaar, PAN & other basic details. Since this process is completed through Video verification, kindly ensure you are using a camera-enabled device."
Are you facing an error while opening a Digi Current Account?,You need to have the following details to open an Axis Digi Current Account:   Valid Aadhaar Card & PAN Card The valid mobile number linked to Aadhaar Card Your name on the Aadhaar Card & PAN Card should match Make sure these requirements are met
What is the minimum balance requirement for Digi Current Account?,"You need to maintain a Monthly Average Balance of ₹15,000 (in case of Metro/Urban Branches) or ₹7,500 (in case of Semi-urban/Rural Branches) in your Digi Current Account to avoid non-maintenance of balance charges. The initial funding and MAB requirement may change basis partner specific arrangements with the Bank. Please refer to the Fees and Charges tab for more details."
Do I lose any money playing games?,"No, your savings remain intact and grow daily based on global rates."
Who can invest?,Any Indian (20+) with a bank account can invest in Fello funds.
What is FLO?,FLO is an RBI-regulated P2P fund that FELLO provides in collaboration with lendbox that gives 10% stable returns.
Why save in Digital Gold?,Gold has been the go-to saving and investing commodity for us Indians for thousands of years. It is the safest option available in the market that gives good returns even during inflation.
Is Fello Safe?,5 Lakh+ Indians trust Fello. Our digital gold is regulated by Augmont (India’s leading digital gold provider) and FLO is an RBI-regulated fund. Saving and investing in Fello is completely safe and secure.
What is FMPP?,"FMPP from LenDenClub comes with a minimum amount of ₹10,000 per investment. It has been designed to invest over a term of 1, 2, 3, 4, and 5 years.  All the investors of Lendenclub have earned returns over 10% as per the latest 3 months’ FMPP performance."
How to register for FMPP?,"We have made the process simpler for you. You will have to provide us with a little information, and your account will be created instantly.  You can then add funds and create FMPPs as per your financial goals."
Are there any eligibility criteria to apply for FMPP?,"The only eligibility criteria for investing in FMPP is that one should be an adult Indian citizen with valid PAN and Aadhar cards, and bank accounts for transactions. An adult NRI with an NRO bank account and Indian PAN is eligible too. Minors looking for investment can contact us at fmppsupport@lendenclub.com to know eligibility."
Can I pre-close my FMPP Investment?,"No, an FMPP once created, cannot be altered or withdrawal before maturity. Please double-check before giving your final confirmation"
What are the benefits of having multiple FMPPs?,"With the flexibility of having multiple FMPPs, one need not wait for investing a lump sum but invest small amounts at their convenience. The different closure dates for all FMPPs help in the planned maturation of investments."
Is it mandatory to make a trade once the account has opened?,"No, it is not mandatory to make the trade once the account has been opened. However,  you should share the benefits of Nuvama demat account with your customers and encourage them to conduct their first trade."
When will I get my payout?,You will receive the payout in your wallet instantly once  once the customer has successfully deposit minimum ₹5000 within 60 days of the account opening. You can transfer this amount to your account anytime
What is the minimum age required to open the account?,"The minimum age of the customer should be 18 yrs for opening an Edelweiss account. However, the ideal customer is the one in the age group of 28-45 years."
Will I receive the payout if the customer has an existing relationship with Nuvama Demat?,"No, you will not receive the payout if the customer is already an existing relation with Nuvama Demat"
What are the benefits of a personal loan?,"Personal Loans from KreditBee are easy to avail. On average, the funds are disbursed into your account in just 10 minutes. You can get the loan you need quickly, without any hassles."
What is a personal loan interest rate?,The interest rates vary depending on the loan amount and tenure. You can get a loan with interest rates ranging from 1.02% p.m. to 2.49% p.m. depending on various factors.
How can I get a personal loan in one day?,Just download the KreditBee app or log on to the website. Complete a simple documentation process and apply for the loan you need. The entire process from start to finish including disbursal can be completed in just 10 minutes.
What are the eligibility requirements for a personal loan?,"- The eligibility criteria for a personal loan include:   You must be above 21 years of age and lower than 45 years of age.   You must have a net monthly income of more than ₹10,000 a month.   You must be a citizen of India."
Can I get a personal loan without a salary slip?,"Yes, you can get a loan without a salary slip, apply for flexi personal loan."
How can I get a personal loan without a credit score?,"Yes, customers who are new to credit are welcome as well. KreditBee considers a number of factors aside from the credit score to determine your repayment capacity."
What is ELSS Fund?,ELSS or Equity Linked Savings Scheme is the only kind of mutual fund where your investments are eligible for tax benefits under Section 80C of the Income Tax Act of India. The amount invested in ELSS Fund has a lock-in period of 3 years with no option of early withdrawal of money.
Is it mandatory to invest once account opening has been completed?,"Yes, it is mandatory for the customer to make an investment within the first 7 days from the account opening date."
What are the documents required during the onboarding journey?,"PAN card, Aadhaar card and Bank Account details"
When will I get my payout?,You will receive the payout within 7-10 days once the customer has successfully made the investment
What is the minimum age required to open the account?,The minimum age of the customer should be 18
Does the customer need to have their mobile no registered with their Aadhaar card?,"Yes, the customer’s mobile no should be registered with their Aadhaar card."
Will I receive the payout if the customer has an existing investment with DSP Tax Saver Fund?,"No, you will not receive the payout if the customer is already an existing investment with DSP Tax Saver Fund."
Who is eligible to avail of Easy Credit Personal Loan?,"- The minimum age at the time of application should be 21 years - The maximum age at personal loan maturity should be 60 years or retirement age whichever is earlier. - The minimum net monthly income should be Rs.15000 - Should have completed a minimum of 2 years in employment and a minimum of 1 year in the current organization. - Should have completed a minimum of 1 year of stay at the current residence, if rented."
What are the documents required for availing of the loan?,"- Aadhar Number - PAN - Proof of residence if the address in Aadhar is not your current address (Driving license, Voter ID Passport also accepted as address proof). - 6 months Bank statement (optional)."
How much time is required for disbursal to my bank account?,"In case all details are correct and verified in real-time, disbursal should happen within a few hours (up to 6 hours), else it may take a few days (1-2 days)."
What are the loan tenure options?,You can repay your loan over a period of 12 to 48 months.
What is the rate of interest applicable?,"The rate of interest will be 12.3% onwards. Applicable Government taxes, levies, etc. are over and above Fees & Charges."
What if I need more than the pre-approved amount?,"Once you get a preapproved loan, you have the option to apply for a Top-up loan as well."
How do I foreclose my loan account?,You can prepay/foreclose the entire loan outstanding at any time after paying 12 installments. Prepayment charges as applicable would be levied on the outstanding loan amount. The exact amount for the pre-closure of the loan is available in the Foreclosure Letter issued by the bank. TAT (Turn Around Time) for issuance of a Foreclosure Letter is 15 working Days from the date of request.
How can I repay my personal loan?,You pay the loan in equated monthly installments (EMIs). The loan will be paid through E-Nach for other banks. You can also pay through a standing instruction to debit your IndusInd Bank account with the EMI amount.
WHAT IS LOAN AGAINST MUTUAL FUNDS?,"A loan against mutual funds is a simple and convenient way to receive instant funds for any financial requirements. You just have to pledge your MF units as collateral and you’re good to go! This facility makes it easier for investors to meet their short-term needs. Instant loans against mutual funds are easily accessible both online and offline. The approval process is straight-forward & fast. Moreover, it comes with great benefits, such as lower interest rates, flexible repayment options."
WHAT IS PURPOSE OF LOAN AGAINST MUTUAL FUNDS?,"A loan against mutual funds is a secured loan providing individuals with an option to borrow money without having to liquidate their investments. You can utilize this loan facility for a host of needs, such as setting up a business, dealing with an unexpected health crisis, bankrolling higher studies, adding capital assets, or more."
WHAT IS LOAN AGAINST SHARES?,"A loan against shares online is a facility where you pledge your stock investments or equity shares as collateral in exchange for a loan. It is an instant source of funds to meet your immediate financial needs. Borrowers can avail of such a loan offline and online. In either case, the process for getting it approved is quite simple. The advantages of taking a loan against shares include low-interest rates, flexibility in repayment terms, and easy availability of funds."
WHAT IS PURPOSE OF LOAN AGAINST SHARES?,"A loan against shares is a type of loan that allows individuals to use their shares as collateral to borrow money. Borrowers can use it for various purposes, including starting a business, financing an education, investing in capital assets, or more.  Irrespective of what you need it for, taking out an instant loan against shares saves you from selling your investments in haste, incurring unexpected losses due to market downfall, and paying income gain tax."
HOW WILL MY LOAN AGAINST MUTUAL FUNDS BE PRICED? OR HOW MY LOAN EFFECTIVE ROI WILL GET CALCULATED?,"It is essential to consider the loan against mutual funds interest rate before deciding to borrow money as it affects the pricing. The cost of your loan will depend on the interest rates associated with it.  We have multiple EMI plans with an interest rate beginning at 0.67% flat interest rate per month each month. This converts to a yearly flat rate starting from 8%, depending on the plan you select."
Where can I check my earnings?,You can check all your earnings from product sales by clicking on Total Earnings. Your commission of insurance sales is transferred directly to your bank account and you can check it's status in customer section. Watch video to know more. 
Why can't I transfer money to my bank account?,To transfer money to your bank account you need to complete your KYC and have a balance of minimum ₹500. Watch video to know how to complete your KYC.
What is the AU Small Finance Bank SwipeUp Platform?,"SwipeUp Platform is a unique offering of AU Small Finance Bank that offers upgraded Credit Card to other Bank Credit Cardholders. Through this platform, you will get an assured upgraded AU Credit Card against other bank's existing credit card matching your current upgraded lifestyle. "
What are the benefits of taking a card through AU SFB SwipeUp Platform ?,"When you choose AU Small Finance Bank SwipeUp Platform, you enjoy a card with more features & benefits i.e.: Higher Reward Points and Cashbacks apart from only Higher Credit Limit that is offered by your existing Credit Card."
Who can apply on the SwipeUp platform?,Any person holding a Credit Card of other Bank is eligible to apply for SwipeUp Platform.
What are the fees and charges applicable on the upgraded AU Credit Card ?,"All Credit Cards offered through the SwipeUp platform will be Lifetime Free i.e., Zero "
What is GILD FD Pay?,"Gild FD Pay is an FD-backed credit card issued by SBM Bank India, where you get rewards in digital gold for spends on the Gild Card. Money deposited with SBM Bank India is protected under the DICGC scheme of RBI."
Is GILD card a prepaid card/ credit card/ debit card ?,Gild Card is a credit card that will be reported to the Credit Bureau under SBM Bank India as the issuer.
Who can apply for this card?,Any Indian citizen above the age of 18 with PAN & Aadhar in full-KYC compliance as per RBI norms
What are the features of the Navi mutual fund?,100% digital & paperless process. Low cost. Invest at your convenience. Minimal documentation.
When will my profit be paid into my account?,Profit for Navi mutual fund will be transferred to your Paytm / Bank account within 7 days when it is tracked in the dashboard.
Is Navi a bank or an NBFC?,The Navi App is operated by Navi Technologies Limited. Navi Finserv Limited is an RBI-registered Systemically Important Non-Deposit Taking NBFC (ND-SI) that lends through the Navi App. Navi Technologies is the digital lending partner of Navi Finserv.
What is the profit tracking time for Navi mutual fund?,7 Days.
How to contact Navi mutual fund?,Customers can mail to help@navi.com
What are the tax implications for investments with Fisdom?,Profits from investment in mutual funds and equity are taxed as capital gain tax. To know more please watch below video
What is the Fisdom account?,"Fisdom is a one-stop destination for all financial needs. It is an App where people can make smart investments. Fisdom has developed cutting-edge technology with personalized financial advice. The key aim of Fisdom is to make clients' money work for them as well as to make the investment advisory industry by making it completely transparent, objective, secure, and personal."
Can I close my Fisdom account anytime? What happens to my investments?,"Yes. You can close your Fisdom account anytime. Your investments are safe and always remain under your name with the mutual fund, and you can interact with the AMC (Fund House) directly."
Can existing holdings transfer with Fisdom to other distributors?,"Yes, customers can transfer their existing holdings that are with Fisdom to other distributors (ARN holders) or RIA (Registered Investor Advisor)."
What are the various pricing plans available on Fisdom?,"As a launch offer, Fisdom is not charging anything from its users. All transactions are free of charge."
How to Invest in an ELSS Tax-saver Fund Without a Demat Account?,A Demat account is not required to invest in mutual funds. You can take the help of a mutual fund distributor or broker to invest in tax-saving mutual funds. You can make your investment through NetBanking or UPI.
How to Invest a Lump Sum in Tax-saver Funds?,"If you want to make a one-time investment in a mutual fund scheme, you will need to opt for the lump sum method of investing. You can make lump sum investments in a tax-saving mutual fund online or offline through the fund house or a mutual fund distributor. To invest a lump sum online, you will need to visit AMC’s website or Tata Capital’s Moneyfy platform. After creating your investor account and completing your e-KYC, you can select the suitable ELSS mutual fund scheme and choose the lump sum option to invest in it. Then, you can make your investment using any of the available online payment methods."
How to Invest in ELSS Tax Saving Mutual Funds Through SIP Online?,"A Systematic Investment Plan or SIP allows you to invest fixed amounts in mutual funds at fixed intervals. SIP is the best method for long-term wealth creation through mutual funds. You can start your SIP in an ELSS fund for as low as Rs. 500 per month. To start your ELSS SIP, you can visit Tata Capital’s Moneyfy platform. Below are the steps you need to follow to invest in ELSS mutual funds through SIP using the Moneyfy platform: Step 1 - Visit the Moneyfy website or download the app on your smartphone. Step 2 - Create your investor account by completing your e-KYC. Step 3 - Select the mutual fund scheme you want to start a SIP. Step 4 - Enter your bank account details and the SIP amount to set up a SIP auto-debit. Step 5 - Select the date of the first SIP. Your recurring SIPs will be made on this date thereafter.Step 6 - The SIP amount will be deducted from your bank account every month, and it will get invested in the selected tax-saving mutual fund."
What are the benefits and charges of Axis My Zone Credit Card?,Axis My Zone is a Lifetime Free Credit Card
What are the benefits and charges of Axis Indian Oil Credit Card?,Joining Fee - Rs 499   Annual Fee - Rs 499
How eMandate works?,Check your Approved Loan Details in the link provided to you at the time of approval. Check your registered mail id and mobile number. Select your bank. Check your account details and proceed for mandate registration via net banking.
How can I repay the loan?,"On the due date, Phocket uses NACH / e-mandate to take repayment automatically. On the repayment date, your registered bank account will be automatically debited. Just make sure that you have enough money in your bank account on that day."
What is the interest rate charged?,
What is the processing fee charged?,
